1999-12-31 17:37:03,413 INFO     Initial Log
1999-12-31 17:37:03,423 INFO     PiRunTimeData.txt Initial
1999-12-31 17:37:03,425 INFO     Camera Inits
1999-12-31 17:37:03,443 INFO     Startime @946687023.43
1999-12-31 17:37:03,957 INFO     RT:0Watching Serial
1999-12-31 17:37:09,419 INFO     Camera Settings Read
1999-12-31 17:37:10,218 INFO     (650,450) photo saved
1999-12-31 17:37:10,305 INFO     RT:6Watching Serial
1999-12-31 17:37:15,325 INFO     RT:11Watching Serial
1999-12-31 17:37:20,346 INFO     RT:16Watching Serial
1999-12-31 17:37:25,368 INFO     RT:21Watching Serial
1999-12-31 17:37:30,393 INFO     RT:26Watching Serial
1999-12-31 17:37:35,417 INFO     RT:31Watching Serial
1999-12-31 17:37:40,444 INFO     RT:37Watching Serial
1999-12-31 17:37:45,466 INFO     RT:42Watching Serial
1999-12-31 17:37:50,491 INFO     RT:47Watching Serial
1999-12-31 17:37:53,809 INFO     Attempting to update camera settings
1999-12-31 17:37:58,956 INFO     New Camera Settings Received
1999-12-31 17:37:59,291 INFO     Camera Settings Read
