1999-12-31 17:24:37,720 INFO     Initial Log
1999-12-31 17:24:37,727 INFO     PiRunTimeData.txt Initial
1999-12-31 17:24:37,729 INFO     Camera Inits
1999-12-31 17:24:37,745 INFO     Startime @946686277.733
1999-12-31 17:24:38,260 INFO     RT:0Watching Serial
1999-12-31 17:24:43,704 INFO     Camera Settings Read
1999-12-31 17:24:44,522 INFO     (650,450) photo saved
1999-12-31 17:24:44,603 INFO     RT:6Watching Serial
1999-12-31 17:24:49,624 INFO     RT:11Watching Serial
1999-12-31 17:24:54,648 INFO     RT:16Watching Serial
1999-12-31 17:24:59,674 INFO     RT:21Watching Serial
1999-12-31 17:25:04,698 INFO     RT:26Watching Serial
1999-12-31 17:25:09,725 INFO     RT:31Watching Serial
1999-12-31 17:25:14,748 INFO     RT:37Watching Serial
1999-12-31 17:25:19,775 INFO     RT:42Watching Serial
1999-12-31 17:25:24,794 INFO     RT:47Watching Serial
1999-12-31 17:25:29,816 INFO     RT:52Watching Serial
1999-12-31 17:25:33,289 INFO     Send Image Command Received
1999-12-31 17:25:33,303 INFO     Sending:image0000_b.jpg
1999-12-31 17:25:33,330 INFO     214392: Image Size
1999-12-31 17:25:33,342 INFO     photo request received
1999-12-31 17:25:33,354 INFO     GPS Data Request Received
1999-12-31 17:25:33,373 ERROR    $GPGGA,235022.082,,,,,0,00,,,M,,M,,*76

1999-12-31 17:25:33,376 ERROR    Quality is Zero
1999-12-31 17:25:33,378 INFO     $GPGGA,235022.082,,,,,0,00,,,M,,M,,*76

1999-12-31 17:25:33,381 INFO     ,,
1999-12-31 17:25:33,394 INFO     formatted: ,,,aaaaaaaaaaaaaaaaaaaaaaaaaa
1999-12-31 17:25:33,408 INFO     Send Position:0 // Remaining:209kB
1999-12-31 17:25:40,644 INFO     try number:1
1999-12-31 17:25:40,655 INFO     resending last @0
1999-12-31 17:25:40,666 INFO     ours:90a689d9d376c2c8404cc75ba964e815
1999-12-31 17:25:40,676 INFO     GPS Data Request Received
1999-12-31 17:25:40,688 INFO     $GPGSA,A,1,,,,,,,,,,,,,,,*1E

1999-12-31 17:25:40,690 INFO     ,,
1999-12-31 17:25:40,701 INFO     formatted: ,,,aaaaaaaaaaaaaaaaaaaaaaaaaa
1999-12-31 17:25:40,713 INFO     Send Position:0 // Remaining:209kB
1999-12-31 17:25:41,665 INFO     GPS Data Request Received
1999-12-31 17:25:41,686 INFO     $GPRMC,235022.082,V,,,,,0.00,0.00,120419,,,N*4C

1999-12-31 17:25:41,688 INFO     ,,
1999-12-31 17:25:41,700 INFO     formatted: ,,,aaaaaaaaaaaaaaaaaaaaaaaaaa
1999-12-31 17:25:41,714 INFO     Send Position:3000 // Remaining:206kB
1999-12-31 17:25:42,655 INFO     GPS Data Request Received
1999-12-31 17:25:42,672 INFO     $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32

1999-12-31 17:25:42,674 INFO     ,,
1999-12-31 17:25:42,686 INFO     formatted: ,,,aaaaaaaaaaaaaaaaaaaaaaaaaa
1999-12-31 17:25:42,700 INFO     Send Position:6000 // Remaining:203kB
1999-12-31 17:25:43,705 INFO     GPS Data Request Received
1999-12-31 17:25:43,722 ERROR    $GPGGA,235023.082,,,,,0,00,,,M,,M,,*77

1999-12-31 17:25:43,725 ERROR    Quality is Zero
