1999-12-31 17:38:39,392 INFO     Initial Log
1999-12-31 17:38:39,399 INFO     PiRunTimeData.txt Initial
1999-12-31 17:38:39,401 INFO     Camera Inits
1999-12-31 17:38:39,423 INFO     Startime @946687119.405
1999-12-31 17:38:39,942 INFO     RT:0Watching Serial
1999-12-31 17:38:45,440 INFO     Camera Settings Read
1999-12-31 17:38:46,248 INFO     (650,450) photo saved
1999-12-31 17:38:46,339 INFO     RT:6Watching Serial
1999-12-31 17:38:46,355 INFO     Attempting to update camera settings
1999-12-31 17:38:51,433 INFO     New Camera Settings Received
1999-12-31 17:38:51,763 INFO     Camera Settings Read
