2018-05-11 13:30:04,413 INFO     Initial Log
2018-05-11 13:30:04,427 INFO     PiRunTimeData.txt Initial
2018-05-11 13:30:04,429 INFO     Camera Inits
2018-05-11 13:30:04,436 INFO     Startime @1526067004.43
2018-05-11 13:30:04,942 INFO     RT:0Watching Serial
2018-05-11 13:30:10,380 INFO     Camera Settings Read
2018-05-11 13:30:11,205 INFO     (650,450) photo saved
2018-05-11 13:30:11,250 INFO     RT:6Watching Serial
2018-05-11 13:30:16,260 INFO     RT:11Watching Serial
2018-05-11 13:30:21,270 INFO     RT:16Watching Serial
2018-05-11 13:30:23,854 INFO     Time Sync Request Recieved
2018-05-11 13:30:23,862 INFO     RT:19Watching Serial
2018-05-11 13:30:24,054 INFO     Ping Request Received
2018-05-11 13:30:24,277 INFO     Ping Received
2018-05-11 13:30:24,495 INFO     Ping Received
2018-05-11 13:30:24,708 INFO     Ping Received
2018-05-11 13:30:24,924 INFO     Ping Received
2018-05-11 13:30:25,137 INFO     Ping Received
2018-05-11 13:30:25,354 INFO     Ping Received
2018-05-11 13:30:25,565 INFO     Ping Received
2018-05-11 13:30:25,783 INFO     Ping Received
2018-05-11 13:30:26,005 INFO     Ping Received
2018-05-11 13:30:26,211 INFO     RT:21Watching Serial
2018-05-11 13:30:30,626 INFO     Attempting to update camera settings
2018-05-11 13:30:35,746 INFO     New Camera Settings Received
2018-05-11 13:30:36,113 INFO     Camera Settings Read
2018-05-11 13:30:36,824 INFO     (650,450) photo saved
2018-05-11 13:30:36,889 INFO     RT:32Watching Serial
2018-05-11 13:30:41,908 INFO     RT:37Watching Serial
2018-05-11 13:30:46,934 INFO     RT:42Watching Serial
2018-05-11 13:30:47,166 INFO     Attempting to update camera settings
2018-05-11 13:30:52,278 INFO     New Camera Settings Received
2018-05-11 13:30:52,603 INFO     Camera Settings Read
2018-05-11 13:30:53,309 INFO     (306,115) photo saved
2018-05-11 13:30:53,374 INFO     RT:48Watching Serial
2018-05-11 13:30:58,395 INFO     RT:53Watching Serial
2018-05-11 13:31:02,537 INFO     Attempting to update camera settings
