2018-05-11 13:37:32,323 INFO     Initial Log
2018-05-11 13:37:32,333 INFO     PiRunTimeData.txt Initial
2018-05-11 13:37:32,336 INFO     Camera Inits
2018-05-11 13:37:32,352 INFO     Startime @1526067452.34
2018-05-11 13:37:32,869 INFO     RT:0Watching Serial
2018-05-11 13:37:38,319 INFO     Camera Settings Read
2018-05-11 13:37:39,121 INFO     (650,450) photo saved
2018-05-11 13:37:39,211 INFO     RT:6Watching Serial
2018-05-11 13:37:44,235 INFO     RT:11Watching Serial
2018-05-11 13:37:49,261 INFO     RT:16Watching Serial
2018-05-11 13:37:54,285 INFO     RT:21Watching Serial
2018-05-11 13:37:55,957 INFO     Time Sync Request Recieved
2018-05-11 13:37:56,019 INFO     RT:23Watching Serial
2018-05-11 13:37:56,091 INFO     Ping Request Received
2018-05-11 13:37:56,189 INFO     Ping Received
2018-05-11 13:37:56,404 INFO     Ping Received
2018-05-11 13:37:56,620 INFO     Ping Received
2018-05-11 13:37:56,831 INFO     Ping Received
2018-05-11 13:37:57,049 INFO     Ping Received
2018-05-11 13:37:57,261 INFO     Ping Received
2018-05-11 13:37:57,479 INFO     Ping Received
2018-05-11 13:37:57,689 INFO     Ping Received
2018-05-11 13:37:57,909 INFO     Ping Received
2018-05-11 13:37:58,122 INFO     RT:25Watching Serial
2018-05-11 13:38:03,142 INFO     RT:30Watching Serial
2018-05-11 13:38:07,712 INFO     Attempting to update camera settings
2018-05-11 13:38:12,801 INFO     New Camera Settings Received
2018-05-11 13:38:13,137 INFO     Camera Settings Read
2018-05-11 13:38:13,810 INFO     (306,87) photo saved
2018-05-11 13:38:13,874 INFO     RT:41Watching Serial
2018-05-11 13:38:16,931 INFO     Send Image Command Received
2018-05-11 13:38:16,944 INFO     Sending:image0001_b.jpg
2018-05-11 13:38:16,961 INFO     53844: Image Size
2018-05-11 13:38:16,973 INFO     photo request received
2018-05-11 13:38:16,985 INFO     GPS Data Request Received
2018-05-11 13:38:17,003 ERROR    $GPGGA,001514.096,,,,,0,00,,,M,,M,,*76

2018-05-11 13:38:17,006 ERROR    Quality is Zero
2018-05-11 13:38:17,008 INFO     $GPGGA,001514.096,,,,,0,00,,,M,,M,,*76

2018-05-11 13:38:17,011 INFO     ,,
2018-05-11 13:38:17,023 INFO     formatted: ,,,aaaaaaaaaaaaaaaaaaaaaaaaaa
2018-05-11 13:38:17,037 INFO     Send Position:0 // Remaining:52kB
2018-05-11 13:38:18,124 INFO     GPS Data Request Received
2018-05-11 13:38:18,138 INFO     $GPGSA,A,1,,,,,,,,,,,,,,,*1E

2018-05-11 13:38:18,140 INFO     ,,
2018-05-11 13:38:18,152 INFO     formatted: ,,,aaaaaaaaaaaaaaaaaaaaaaaaaa
2018-05-11 13:38:18,167 INFO     Send Position:3000 // Remaining:49kB
2018-05-11 13:38:19,128 INFO     GPS Data Request Received
2018-05-11 13:38:19,149 INFO     $GPRMC,001514.096,V,,,,,0.00,0.00,130419,,,N*4D

2018-05-11 13:38:19,152 INFO     ,,
2018-05-11 13:38:19,164 INFO     formatted: ,,,aaaaaaaaaaaaaaaaaaaaaaaaaa
2018-05-11 13:38:19,179 INFO     Send Position:6000 // Remaining:46kB
2018-05-11 13:38:20,152 INFO     GPS Data Request Received
2018-05-11 13:38:20,168 INFO     $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32

2018-05-11 13:38:20,171 INFO     ,,
2018-05-11 13:38:20,183 INFO     formatted: ,,,aaaaaaaaaaaaaaaaaaaaaaaaaa
2018-05-11 13:38:20,198 INFO     Send Position:9000 // Remaining:43kB
2018-05-11 13:38:21,146 INFO     GPS Data Request Received
2018-05-11 13:38:21,164 ERROR    $GPGGA,001515.096,,,,,0,00,,,M,,M,,*77

2018-05-11 13:38:21,166 ERROR    Quality is Zero
2018-05-11 13:38:21,169 INFO     $GPGGA,001515.096,,,,,0,00,,,M,,M,,*77

2018-05-11 13:38:21,171 INFO     ,,
2018-05-11 13:38:21,184 INFO     formatted: ,,,aaaaaaaaaaaaaaaaaaaaaaaaaa
2018-05-11 13:38:21,198 INFO     Send Position:12000 // Remaining:40kB
2018-05-11 13:38:22,186 INFO     GPS Data Request Received
2018-05-11 13:38:22,200 INFO     $GPGSA,A,1,,,,,,,,,,,,,,,*1E

2018-05-11 13:38:22,203 INFO     ,,
2018-05-11 13:38:22,214 INFO     formatted: ,,,aaaaaaaaaaaaaaaaaaaaaaaaaa
2018-05-11 13:38:22,229 INFO     Send Position:15000 // Remaining:37kB
2018-05-11 13:38:23,169 INFO     GPS Data Request Received
2018-05-11 13:38:23,190 INFO     $GPRMC,001515.096,V,,,,,0.00,0.00,130419,,,N*4C

2018-05-11 13:38:23,192 INFO     ,,
2018-05-11 13:38:23,204 INFO     formatted: ,,,aaaaaaaaaaaaaaaaaaaaaaaaaa
2018-05-11 13:38:23,218 INFO     Send Position:18000 // Remaining:35kB
2018-05-11 13:38:24,175 INFO     GPS Data Request Received
2018-05-11 13:38:24,191 INFO     $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32

2018-05-11 13:38:24,194 INFO     ,,
2018-05-11 13:38:24,204 INFO     formatted: ,,,aaaaaaaaaaaaaaaaaaaaaaaaaa
2018-05-11 13:38:24,217 INFO     Send Position:21000 // Remaining:32kB
2018-05-11 13:38:25,195 INFO     GPS Data Request Received
2018-05-11 13:38:25,213 ERROR    $GPGGA,001516.096,,,,,0,00,,,M,,M,,*74

2018-05-11 13:38:25,215 ERROR    Quality is Zero
2018-05-11 13:38:25,217 INFO     $GPGGA,001516.096,,,,,0,00,,,M,,M,,*74

2018-05-11 13:38:25,220 INFO     ,,
2018-05-11 13:38:25,229 INFO     formatted: ,,,aaaaaaaaaaaaaaaaaaaaaaaaaa
2018-05-11 13:38:25,242 INFO     Send Position:24000 // Remaining:29kB
2018-05-11 13:38:26,202 INFO     GPS Data Request Received
2018-05-11 13:38:26,216 INFO     $GPGSA,A,1,,,,,,,,,,,,,,,*1E

2018-05-11 13:38:26,218 INFO     ,,
2018-05-11 13:38:26,228 INFO     formatted: ,,,aaaaaaaaaaaaaaaaaaaaaaaaaa
2018-05-11 13:38:26,241 INFO     Send Position:27000 // Remaining:26kB
2018-05-11 13:38:27,258 INFO     GPS Data Request Received
2018-05-11 13:38:27,279 INFO     $GPRMC,001516.096,V,,,,,0.00,0.00,130419,,,N*4F

2018-05-11 13:38:27,281 INFO     ,,
2018-05-11 13:38:27,291 INFO     formatted: ,,,aaaaaaaaaaaaaaaaaaaaaaaaaa
2018-05-11 13:38:27,304 INFO     Send Position:30000 // Remaining:23kB
2018-05-11 13:38:28,262 INFO     GPS Data Request Received
2018-05-11 13:38:28,279 INFO     $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32

2018-05-11 13:38:28,281 INFO     ,,
2018-05-11 13:38:28,291 INFO     formatted: ,,,aaaaaaaaaaaaaaaaaaaaaaaaaa
2018-05-11 13:38:28,304 INFO     Send Position:33000 // Remaining:20kB
2018-05-11 13:38:29,285 INFO     GPS Data Request Received
2018-05-11 13:38:29,303 ERROR    $GPGGA,001517.096,,,,,0,00,,,M,,M,,*75

2018-05-11 13:38:29,305 ERROR    Quality is Zero
2018-05-11 13:38:29,308 INFO     $GPGGA,001517.096,,,,,0,00,,,M,,M,,*75

2018-05-11 13:38:29,310 INFO     ,,
