1999-12-31 17:39:18,797 INFO     Initial Log
1999-12-31 17:39:18,805 INFO     PiRunTimeData.txt Initial
1999-12-31 17:39:18,807 INFO     Camera Inits
1999-12-31 17:39:18,826 INFO     Startime @946687158.81
1999-12-31 17:39:19,345 INFO     RT:0Watching Serial
1999-12-31 17:39:24,805 INFO     Camera Settings Read
1999-12-31 17:39:25,600 INFO     (650,450) photo saved
1999-12-31 17:39:25,700 INFO     RT:6Watching Serial
1999-12-31 17:39:30,726 INFO     RT:11Watching Serial
1999-12-31 17:39:32,732 INFO     Attempting to update camera settings
1999-12-31 17:39:38,158 INFO     New Camera Settings Received
1999-12-31 17:39:38,518 INFO     Camera Settings Read
